stellar_mass_msun,rotation_percentile_150Myr,rotation_match_age_myr,wind_speed_kms,current_ram_pressure_nPa,dong_support_entry_age_myr,dong_support_exit_age_myr,fraction_10Myr_to_current_inside_Dong_pressure_support,dong_pressure_support_nPa_low,dong_pressure_support_nPa_high
0.4,5,2806.047639788314,400.0,37.22352391194481,645.010819479821,1500.0253874408397,0.30615164520743915,68.86374908578253,169.42235348294153
0.4,5,2806.047639788314,650.0,60.48822635691032,992.0167318569829,2438.041369601583,0.5175250357653791,68.86374908578253,169.42235348294153
0.4,5,2806.047639788314,800.0,74.44704782388962,1206.0203781068753,2806.047639788314,0.5724248927038627,68.86374908578253,169.42235348294153
0.4,6,2825.7792908339616,300.0,27.970760454892723,533.1447847624021,1135.311439498475,0.21420959147424515,68.86374908578253,169.42235348294153
0.4,6,2825.7792908339616,400.0,37.2943472731903,682.1860331937557,1526.4196820263894,0.30017761989342806,68.86374908578253,169.42235348294153
0.4,6,2825.7792908339616,650.0,60.60331431893423,1017.2787729555238,2457.6774155135718,0.5119005328596803,68.86374908578253,169.42235348294153
0.4,6,2825.7792908339616,800.0,74.5886945463806,1239.3402303498895,2825.7792908339616,0.5635879218472468,68.86374908578253,169.42235348294153
0.4,7,2845.669551265021,300.0,27.88533369360784,556.128950614004,1155.2704184121512,0.21164021164021166,68.86374908578253,169.42235348294153
0.4,7,2845.669551265021,400.0,37.18044492481046,699.1627233938623,1543.3620536470114,0.29805996472663143,68.86374908578253,169.42235348294153
0.4,7,2845.669551265021,650.0,60.41822300281699,1033.2416052712933,2477.5826394958754,0.5097001763668431,68.86374908578253,169.42235348294153
0.4,7,2845.669551265021,800.0,74.36088984962092,1258.2947442605807,2845.669551265021,0.5599647266313933,68.86374908578253,169.42235348294153
0.4,8,2875.802334509257,300.0,27.970528119693306,594.1635474182917,1190.330455399973,0.20837696335078537,68.86374908578253,169.42235348294153
0.4,8,2875.802334509257,400.0,37.29403749292442,726.2005136155769,1573.4377133814899,0.29598603839441534,68.86374908578253,169.42235348294153
0.4,8,2875.802334509257,650.0,60.602810926002164,1063.2948894374335,2517.702077701468,0.5078534031413613,68.86374908578253,169.42235348294153
0.4,8,2875.802334509257,800.0,74.58807498584883,1295.3598603296318,2875.802334509257,0.5516579406631763,68.86374908578253,169.42235348294153
0.4,9,2896.0891184038455,300.0,28.008190824480284,616.0187130120341,1218.037302505837,0.208939708939709,68.86374908578253,169.42235348294153
0.4,9,2896.0891184038455,400.0,37.344254432640376,748.0227891136653,1594.0489132195744,0.29348579348579357,68.86374908578253,169.42235348294153
0.4,9,2896.0891184038455,650.0,60.684413453040605,1085.033195524648,2538.078063522149,0.503811503811504,68.86374908578253,169.42235348294153
0.4,9,2896.0891184038455,800.0,74.68850886528075,1322.0405139798495,2896.0891184038455,0.5455647955647955,68.86374908578253,169.42235348294153
0.4,10,2917.695203072506,300.0,27.84481018123194,643.1513806483991,1248.2960651543729,0.20846233230134154,68.86374908578253,169.42235348294153
0.4,10,2917.695203072506,400.0,37.12641357497591,769.1815132893126,1614.3835933017886,0.29102167182662536,68.86374908578253,169.42235348294153
0.4,10,2917.695203072506,650.0,60.33042205933586,1107.262345294303,2557.6091098127526,0.4991400068799449,68.86374908578253,169.42235348294153
0.4,10,2917.695203072506,800.0,74.25282714995183,1353.3211756884675,2917.695203072506,0.5381836945304438,68.86374908578253,169.42235348294153
0.4,11,2928.7012895938137,300.0,27.941299739279405,653.1545336562104,1255.29921368893,0.20664838930774498,68.86374908578253,169.42235348294153
0.4,11,2928.7012895938137,400.0,37.25506631903921,776.1840945266831,1621.387175303507,0.28992460589444824,68.86374908578253,169.42235348294153
0.4,11,2928.7012895938137,650.0,60.53948276843871,1114.2653268374127,2577.6169329634404,0.5017135023989033,68.86374908578253,169.42235348294153
0.4,11,2928.7012895938137,800.0,74.51013263807842,1358.3239679137973,2928.7012895938137,0.538211103495545,68.86374908578253,169.42235348294153
0.4,12,2945.669551265021,300.0,27.88533369360784,674.1514759931769,1273.28812376413,0.20442930153321978,68.86374908578253,169.42235348294153
0.4,12,2945.669551265021,400.0,37.18044492481046,795.1790792991624,1636.3709336820866,0.2868824531516184,68.86374908578253,169.42235348294153
0.4,12,2945.669551265021,650.0,60.41822300281699,1134.256414181221,2577.585600714586,0.49199318568994893,68.86374908578253,169.42235348294153
0.4,12,2945.669551265021,800.0,74.36088984962092,1375.3113926666963,2945.669551265021,0.5350936967632026,68.86374908578253,169.42235348294153
0.4,13,2955.6741600000796,300.0,27.921408500864274,684.1542899287109,1282.2911821800003,0.20339558573853986,68.86374908578253,169.42235348294153
0.4,13,2955.6741600000796,400.0,37.228544667819044,805.1819888625002,1646.3745078981765,0.28590831918505943,68.86374908578253,169.42235348294153
0.4,13,2955.6741600000796,650.0,60.49638508520594,1143.2593627436638,2597.592207782752,0.49405772495755507,68.86374908578253,169.42235348294153
0.4,13,2955.6741600000796,800.0,74.45708933563809,1385.3147606112425,2955.6741600000796,0.533276740237691,68.86374908578253,169.42235348294153
0.4,14,2961.983898133422,300.0,27.857791293596772,692.2273868271751,1290.426767065666,0.20298203998644526,68.86374908578253,169.42235348294153
0.4,14,2961.983898133422,400.0,37.143721724795704,815.2683964748915,1653.5477955381946,0.2843104032531345,68.86374908578253,169.42235348294153
0.4,14,2961.983898133422,650.0,60.358547802793005,1153.3810896531688,2597.8625362491234,0.489664520501525,68.86374908578253,169.42235348294153
0.4,14,2961.983898133422,800.0,74.28744344959141,1395.4617753015214,2961.983898133422,0.5308370044052864,68.86374908578253,169.42235348294153
0.4,15,2975.802334509257,300.0,27.970528119693306,709.1891506988096,1312.3523236192418,0.20370994940978074,68.86374908578253,169.42235348294153
0.4,15,2975.802334509257,400.0,37.29403749292442,837.2237877366459,1673.4500108900147,0.2822934232715008,68.86374908578253,169.42235348294153
0.4,15,2975.802334509257,650.0,60.602810926002164,1174.3149805628245,2617.705459044058,0.48701517706576725,68.86374908578253,169.42235348294153
0.4,15,2975.802334509257,800.0,74.58807498584883,1414.3799250087677,2975.802334509257,0.5266441821247893,68.86374908578253,169.42235348294153
0.4,16,2995.6630301365603,300.0,27.770284945809053,721.1579277812713,1330.2931992563686,0.20435510887772196,68.86374908578253,169.42235348294153
0.4,16,2995.6630301365603,400.0,37.02704659441208,851.1868034656105,1681.3711636040848,0.278391959798995,68.86374908578253,169.42235348294153
0.4,16,2995.6630301365603,650.0,60.168950715919614,1187.2614360035952,2637.5835109443033,0.4860971524288108,68.86374908578253,169.42235348294153
0.4,16,2995.6630301365603,800.0,74.05409318882415,1427.3147449592987,2995.6630301365603,0.5254606365159128,68.86374908578253,169.42235348294153
0.4,17,2996.0891184038455,300.0,27.76598895997869,726.0213693158585,1335.0395451725035,0.20428667113194907,68.86374908578253,169.42235348294153
0.4,17,2996.0891184038455,400.0,37.02131861330493,858.0253089104023,1688.0500806033667,0.2782987273945077,68.86374908578253,169.42235348294153
0.4,17,2996.0891184038455,650.0,60.15964274662049,1194.035336969241,2638.0784337459163,0.4839249832551909,68.86374908578253,169.42235348294153
0.4,17,2996.0891184038455,800.0,74.04263722660986,1432.042440177585,2996.0891184038455,0.5239450770261219,68.86374908578253,169.42235348294153
0.4,18,3005.486747576542,300.0,28.0615968146743,734.1176645226765,1344.2168017586332,0.2040066777963272,68.86374908578253,169.42235348294153
0.4,18,3005.486747576542,400.0,37.41546241956573,868.1394422105752,1694.273683779264,0.27612687813021697,68.86374908578253,169.42235348294153
0.4,18,3005.486747576542,650.0,60.800126431794304,1203.193886430322,2637.4269401948495,0.4791318864774624,68.86374908578253,169.42235348294153
0.4,18,3005.486747576542,800.0,74.83092483913146,1441.2325662043509,3005.486747576542,0.5223706176961603,68.86374908578253,169.42235348294153
0.4,19,3006.047639788314,300.0,28.070079511262566,740.0116078255905,1351.0213234165985,0.2042723631508678,68.86374908578253,169.42235348294153
0.4,19,3006.047639788314,400.0,37.42677268168342,875.0137544782683,1700.0268729112986,0.2757009345794393,68.86374908578253,169.42235348294153
0.4,19,3006.047639788314,650.0,60.81850560773555,1210.019081357135,2658.042106194745,0.48364485981308414,68.86374908578253,169.42235348294153
0.4,19,3006.047639788314,800.0,74.85354536336683,1446.0228340240385,3006.047639788314,0.5208611481975968,68.86374908578253,169.42235348294153
0.4,20,3025.7792908339616,300.0,28.620552274115454,759.1935949700289,1373.3522963206267,0.20398009950248758,68.86374908578253,169.42235348294153
