stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,track_max_age_myr,track_final_period_days,rotation_match,nearest_or_crossing_age_myr,nearest_or_matched_period_days,rotation_match_age_myr,current_euv_flux_erg_s_cm2,current_x_flux_erg_s_cm2,current_x_luminosity_erg_s,current_mdot_msun_yr,cumulative_euv_fluence_erg_cm2,cumulative_x_fluence_erg_cm2,cumulative_wind_column_kg_m2
0.2,12,6.08,12000.0,138.96287580530154,True,10808.5700573117,131.0,10808.5700573117,43.27548475567145,13.972578236919912,3.51657197707532e+26,1.32914299426883e-15,5.190112405910531e+19,4.173690143672284e+19,70324.88027102311
0.2,13,6.2,12000.0,138.25748049664517,True,10808.5700573117,131.0,10808.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,5.209648082613891e+19,4.1995392253569606e+19,70620.37360252981
0.2,14,6.32,12000.0,138.25748049664517,True,10808.5700573117,131.0,10808.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,5.225259069453225e+19,4.2172389751289315e+19,70817.89588294874
0.2,15,6.45,12000.0,138.25748049664517,True,10854.065245139773,131.0,10854.065245139773,43.09471636091793,13.961486423740443,3.513780426458068e+26,1.3245934754860226e-15,5.258562166293612e+19,4.249635525032202e+19,71202.95855229339
0.2,16,6.57,12000.0,138.25748049664517,True,10908.5700573117,131.0,10908.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,5.2813793723949425e+19,4.272996486929008e+19,71459.77558321971
0.2,17,6.81,12000.0,138.25748049664517,True,10908.5700573117,131.0,10908.5700573117,42.91220141162573,13.932844717094333,3.50657197707532e+26,1.31914299426883e-15,5.3126640407998734e+19,4.311065753263628e+19,71902.2254913581
0.2,18,7.12,12000.0,138.25748049664517,True,10908.5700573117,131.0,10908.5700573117,43.27548475567145,13.972578236919912,3.51657197707532e+26,1.32914299426883e-15,5.3698205692690326e+19,4.382733169448955e+19,72712.52959672708
0.2,19,7.3,12000.0,137.55921039312676,True,10908.5700573117,131.0,10908.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,5.4101144698378674e+19,4.431962143104975e+19,73252.95055595324
0.2,20,7.36,12000.0,137.55921039312676,True,10908.5700573117,131.0,10908.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,5.4200515839504564e+19,4.441209615228676e+19,73351.7116961627
0.2,21,7.42,12000.0,137.55921039312676,True,10908.5700573117,131.0,10908.5700573117,43.27548475567145,14.0157169421665,3.52742898280649e+26,1.32914299426883e-15,5.427236399580126e+19,4.448990076804533e+19,73446.52239076378
0.2,22,7.61,12000.0,137.55921039312676,True,11008.5700573117,131.0,11008.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,5.459908874899711e+19,4.482102207431941e+19,73815.82134405663
0.2,23,7.67,12000.0,137.55921039312676,True,11008.5700573117,131.0,11008.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,5.466548246410897e+19,4.488798004196764e+19,73893.25007798086
0.2,24,7.79,12000.0,137.55921039312676,True,11008.5700573117,131.0,11008.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,5.4809241471428624e+19,4.506126826535688e+19,74086.8219127914
0.2,25,7.97,12000.0,137.55921039312676,True,11008.5700573117,131.0,11008.5700573117,42.91220141162573,13.93624990251534,3.50742898280649e+26,1.31914299426883e-15,5.5030365770956055e+19,4.533914203809971e+19,74384.68551166313
0.2,26,8.03,12000.0,137.55921039312676,True,11008.5700573117,131.0,11008.5700573117,42.91220141162573,13.93624990251534,3.50742898280649e+26,1.31914299426883e-15,5.51264767863163e+19,4.54595159125235e+19,74499.24843430611
