model_slice,age_window_width_myr,n_histories_total,worst_case_cumulative_euv_width,worst_case_cumulative_wind_width
TOI-700 0.40 Msun,280.0,97,1.3301113722971496,1.374083948736397
TOI-700 0.40 Msun,290.0,97,1.337509907112537,1.3821285399240244
TOI-700 0.40 Msun,300.0,97,1.361836256255923,1.4085195436600648
TOI-700 0.40 Msun,310.0,97,1.361836256255923,1.4085195436600648
TOI-700 0.40 Msun,320.0,97,1.3804191196835716,1.427964923623888
TOI-700 0.40 Msun,330.0,97,1.397385139544406,1.4457253775306547
TOI-700 0.40 Msun,340.0,97,1.4021433177271334,1.4505921431892026
TOI-700 0.40 Msun,350.0,97,1.4225184176001884,1.4720881344465124
TOI-700 0.40 Msun,360.0,97,1.4319155091443287,1.4820927662907633
TOI-700 0.40 Msun,370.0,97,1.4500220488455318,1.5009840174234508
TOI-700 0.40 Msun,380.0,97,1.4623259029848026,1.5137293496922464
TOI-700 0.40 Msun,390.0,97,1.4784414122325857,1.5297614789435212
TOI-700 0.40 Msun,400.0,97,1.5005339430795372,1.5530039782259235
TOI-700 0.40 Msun,410.0,97,1.5117376263520186,1.564691738516781
TOI-700 0.40 Msun,420.0,97,1.5242550562711894,1.5775405673265346
TOI-700 0.40 Msun,430.0,97,1.5390919466783317,1.5919611361863477
TOI-700 0.40 Msun,440.0,97,1.5516605953992775,1.6047859368649993
TOI-700 0.40 Msun,450.0,97,1.5575282080493702,1.6104601718183045
TOI-700 0.40 Msun,460.0,97,1.570626654581137,1.6242802222637711
TOI-700 0.40 Msun,470.0,97,1.5856291914784597,1.6393340532252882
TOI-700 0.40 Msun,480.0,97,1.5976956560059208,1.650887818964771
TOI-700 0.40 Msun,490.0,97,1.6107972780036959,1.6642851975289357
TOI-700 0.40 Msun,500.0,97,1.6378672343442178,1.6911589628758634
TOI-700 0.40 Msun,510.0,97,1.649018599665676,1.7016552642799545
TOI-700 0.40 Msun,520.0,97,1.6670992747161928,1.7196526526697626
TOI-700 0.40 Msun,530.0,97,1.6812395461933942,1.733711679362994
TOI-700 0.40 Msun,540.0,97,1.6951293879170466,1.7475340113215612
TOI-700 0.40 Msun,550.0,97,1.6951293879170466,1.7475340113215612
TOI-700 0.40 Msun,560.0,97,1.714508501276103,1.7661829065537755
TOI-700 0.40 Msun,570.0,97,1.719690949743543,1.7713820942465779
TOI-700 0.40 Msun,580.0,97,1.7383149354672056,1.7895559334641513
TOI-700 0.40 Msun,590.0,97,1.7573329955124388,1.8075727076141466
TOI-700 0.40 Msun,600.0,97,1.7670842856018716,1.8172112774104319
TOI-700 0.40 Msun,610.0,97,1.7873225918668718,1.8370313465006936
TOI-700 0.40 Msun,620.0,97,1.801617364011908,1.8506536414357526
TOI-700 0.40 Msun,630.0,97,1.801617364011908,1.8506536414357526
TOI-700 0.40 Msun,640.0,97,1.832246450152816,1.8813652263141443
TOI-700 0.40 Msun,650.0,97,1.832246450152816,1.8813652263141443
TOI-700 0.40 Msun,660.0,97,1.862472201923007,1.9112373418930524
TOI-700 0.40 Msun,670.0,97,1.862472201923007,1.9112373418930524
TOI-700 0.40 Msun,680.0,97,1.862472201923007,1.9112373418930524
TOI-700 0.40 Msun,690.0,97,1.8944984853152744,1.9442101777762029
TOI-700 0.40 Msun,700.0,97,1.9253688195155616,1.9716831775995791
TOI-700 0.40 Msun,710.0,97,1.9253688195155616,1.9716831775995791
TOI-700 0.40 Msun,720.0,97,1.950453911138419,1.9947108941567906
TOI-700 0.40 Msun,730.0,97,1.969239575551748,2.0138091988443017
TOI-700 0.40 Msun,740.0,97,1.9739751634533893,2.0183491760584142
TOI-700 0.40 Msun,750.0,97,1.9739751634533893,2.0183491760584142
TOI-700 0.40 Msun,760.0,97,2.005398925300544,2.052334363310258
TOI-700 0.40 Msun,770.0,97,2.015491628559676,2.0629761193896035
TOI-700 0.40 Msun,780.0,97,2.034398260690978,2.0846845510998864
TOI-700 0.40 Msun,790.0,97,2.0512269938773495,2.100042174397899
TOI-700 0.40 Msun,800.0,97,2.080724173560872,2.1284224801567797
TOI-700 0.40 Msun,810.0,97,2.080724173560872,2.1284224801567797
TOI-700 0.40 Msun,820.0,97,2.099357481982441,2.1474502813833074
TOI-700 0.40 Msun,830.0,97,2.099357481982441,2.1474502813833074
TOI-700 0.40 Msun,840.0,97,2.134709413015273,2.185449433087682
TOI-700 0.40 Msun,850.0,97,2.134709413015273,2.185449433087682
TOI-700 0.40 Msun,860.0,97,2.162340126679227,2.2172126509859575
TOI-700 0.40 Msun,870.0,97,2.1769805658007213,2.2342972451942327
TOI-700 0.40 Msun,880.0,97,2.1769805658007213,2.2342972451942327
TOI-700 0.40 Msun,890.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,900.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,910.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,920.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,930.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,940.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,950.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,960.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,970.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,980.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,990.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1000.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1010.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1020.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1030.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1040.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1050.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1060.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1070.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1080.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1090.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1100.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1110.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1120.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1130.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1140.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1150.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1160.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1170.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1180.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1190.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1200.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1210.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1220.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1230.0,97,2.1962715253474934,2.253001741931493
TOI-700 0.40 Msun,1240.0,97,2.1962715253474934,2.253001741931493
