stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,rotation_match_age_myr,matched_period_days,current_euv_flux_erg_s_cm2,current_x_flux_erg_s_cm2,current_mdot_msun_yr,cumulative_euv_fluence_erg_cm2,cumulative_x_fluence_erg_cm2,cumulative_wind_column_kg_m2
0.4,45,8.4,3177.959157676223,54.0,81.28908950312008,36.17649963207917,1.2010204211618885e-14,2.5324953651062206e+19,2.349614491264004e+19,48891.168219041814
0.4,46,8.52,3185.9259002833755,54.0,81.19934821528088,36.13172973943769,1.1984444598299747e-14,2.5421088617447784e+19,2.3607292032564077e+19,49056.46707445004
0.4,47,8.52,3185.9259002833755,54.0,81.19934821528088,36.13172973943769,1.1984444598299747e-14,2.5421088617447784e+19,2.3607292032564077e+19,49056.46707445004
0.4,48,8.52,3185.9259002833755,54.0,81.19934821528088,36.13172973943769,1.1984444598299747e-14,2.5421088617447784e+19,2.3607292032564077e+19,49056.46707445004
0.4,49,8.64,3187.1804230828548,54.0,81.29756128859404,36.24165245268535,1.1976917461502871e-14,2.5566856174787277e+19,2.380126609189573e+19,49344.29162212972
0.4,50,8.77,3196.437736077079,54.0,81.04308968354246,36.07358804722259,1.1921373583537525e-14,2.5675926529965154e+19,2.392235005988561e+19,49538.01219600912
0.4,51,8.89,3196.437736077079,54.0,81.17643167665913,36.07358804722259,1.1921373583537525e-14,2.5761417150814794e+19,2.4027885528197628e+19,49692.062343332735
0.4,52,8.89,3196.437736077079,54.0,81.17643167665913,36.07358804722259,1.1921373583537525e-14,2.5761417150814794e+19,2.4027885528197628e+19,49692.062343332735
0.4,53,9.01,3206.047639788314,54.0,81.19346301942011,36.046975656882985,1.196976180105843e-14,2.597266911758845e+19,2.4294647303395918e+19,50095.32618912521
0.4,54,9.25,3215.893639137961,54.0,81.09048568058546,36.03590028047385,1.1920531804310194e-14,2.6148866684304163e+19,2.451828856461326e+19,50430.50110411165
0.4,55,9.38,3215.893639137961,54.0,81.11167857579078,36.148049378385174,1.1936425443448154e-14,2.6233599138445173e+19,2.461805758251234e+19,50576.76291715929
0.4,56,9.5,3223.3885645759005,54.0,81.0439377803941,36.0281227828465,1.1906445741696397e-14,2.632085116513506e+19,2.4720998635601076e+19,50737.26945487252
0.4,57,9.62,3225.7792908339616,54.0,81.11989861674644,36.12321067145363,1.1971103545830192e-14,2.640914801450544e+19,2.483684945848124e+19,50904.2320443135
0.4,58,9.86,3235.7045948763152,54.0,81.01501784166977,35.96439549265806,1.1921477025618424e-14,2.6588953832195015e+19,2.5046501972035887e+19,51220.172871882016
0.4,59,10.23,3245.669551265021,54.0,81.04252734158878,36.071629821348516,1.1971652243674895e-14,2.688048858763717e+19,2.5412080889742557e+19,51761.89795799012
0.4,60,10.47,3255.6741600000796,54.0,81.06908512338678,36.044887678174966,1.1921629199999602e-14,2.7108487850688684e+19,2.570321281646423e+19,52185.077548330024
0.4,61,10.47,3255.6741600000796,54.0,81.06908512338678,36.044887678174966,1.1921629199999602e-14,2.7108487850688684e+19,2.570321281646423e+19,52185.077548330024
0.4,62,10.84,3265.718421081492,54.0,80.96134919394711,36.01751105625407,1.1937126315674031e-14,2.733244915737229e+19,2.598880585170565e+19,52601.13257855374
0.4,63,10.84,3265.718421081492,54.0,80.96134919394711,36.01751105625407,1.1937126315674031e-14,2.733244915737229e+19,2.598880585170565e+19,52601.13257855374
0.4,64,11.09,3277.959157676223,54.0,80.93423642152408,35.95498854359983,1.1910204211618884e-14,2.758086420457816e+19,2.628140740125973e+19,53037.71670118708
0.4,65,11.21,3277.959157676223,54.0,80.9636261199783,35.95498854359983,1.1910204211618884e-14,2.7644920072204472e+19,2.6372825186310705e+19,53162.46815439837
0.4,66,11.33,3285.9259002833755,54.0,80.87636417382143,35.960854376170275,1.1870370498583121e-14,2.77284824304862e+19,2.647514287181145e+19,53318.96477155037
0.4,67,11.57,3296.0891184038455,54.0,80.77098793748752,35.803447172359476,1.1919554407980773e-14,2.7942335022273212e+19,2.6737254737841893e+19,53707.40231053169
0.4,68,11.7,3296.437736077079,54.0,80.8907477155662,35.92599607296124,1.1917811319614604e-14,2.802877758584607e+19,2.6858886048520913e+19,53866.001063806536
0.4,69,11.94,3306.047639788314,54.0,80.80956512693062,35.91363366376632,1.1875809440846744e-14,2.8233759047883477e+19,2.710755446514715e+19,54242.327923065954
0.4,70,11.94,3306.047639788314,54.0,80.80956512693062,35.91363366376632,1.1875809440846744e-14,2.8233759047883477e+19,2.710755446514715e+19,54242.327923065954
0.4,71,12.06,3306.047639788314,54.0,80.93484307661704,35.91363366376632,1.1875809440846744e-14,2.8335426838088065e+19,2.7232741075286016e+19,54408.30966527694
0.4,72,12.31,3315.893639137961,54.0,80.86618748476278,35.90255828735718,1.1920531804310194e-14,2.849265769166657e+19,2.743010431628494e+19,54698.43259532431
0.4,73,12.31,3315.893639137961,54.0,80.86618748476278,35.90255828735718,1.1920531804310194e-14,2.849265769166657e+19,2.743010431628494e+19,54698.43259532431
0.4,74,12.79,3332.393544456971,54.0,80.78085062916043,35.88403374700842,1.1870425822172116e-14,2.8818982325622194e+19,2.7838158779777896e+19,55295.02074478443
0.4,75,13.04,3341.434571925634,54.0,80.7993971517497,35.8727099054258,1.189282714037183e-14,2.904947277411269e+19,2.81219203678832e+19,55705.05461952505
0.4,76,13.77,3359.6247696257415,54.0,80.84092234119802,35.927836681887094,1.1901876151871293e-14,2.9543339463965696e+19,2.8752632988273467e+19,56629.47963066638
0.4,77,14.26,3375.802334509257,54.0,80.71931955326978,35.823892313016124,1.1896790661962972e-14,2.9860686396863832e+19,2.916002729730944e+19,57207.303461133975
0.4,78,14.5,3377.959157676223,54.0,80.90484672306985,35.92559884514561,1.1910204211618884e-14,3.0030702746904977e+19,2.9383457662526796e+19,57528.63644351704
0.4,79,14.99,3406.047639788314,54.0,80.67622313381396,35.78029167064966,1.186976180105843e-14,3.0547097995998245e+19,3.0035696427525374e+19,58521.12557422578
0.4,80,15.48,3415.893639137961,54.0,80.73284549164612,35.769216294240515,1.1836425443448155e-14,3.080031655087821e+19,3.0356647904443548e+19,58952.45368700706
0.4,81,15.72,3415.893639137961,54.0,80.84499458955744,35.90255828735718,1.1836425443448155e-14,3.0914897564329857e+19,3.048720341540867e+19,59128.24585168099
0.4,82,15.97,3425.7792908339616,54.0,80.65527988469849,35.75755931231298,1.1871103545830191e-14,3.104485459559165e+19,3.0641788275047612e+19,59348.06851020169
0.4,83,16.7,3445.669551265021,54.0,80.63095274893057,35.732500531902744,1.1817321794939916e-14,3.144932931963161e+19,3.114966062020608e+19,60041.20750707375
0.4,84,17.19,3455.6741600000796,54.0,80.74329617863187,35.77820369194164,1.1877303359999681e-14,3.1752231399628997e+19,3.1542562872431698e+19,60616.070399804325
