stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,track_max_age_myr,track_final_period_days,rotation_match,nearest_or_crossing_age_myr,nearest_or_matched_period_days
0.2,32,8.58,12000.0,136.86795807959348,True,11008.5700573117,131.0
0.2,33,8.64,12000.0,136.86795807959348,True,11008.5700573117,131.0
0.2,34,8.77,12000.0,136.86795807959348,True,11104.264328034324,131.0
0.2,35,8.89,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,36,8.89,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,37,8.95,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,38,9.13,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,39,9.13,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,40,9.25,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,41,9.32,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,42,9.5,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,43,9.56,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,44,9.62,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,45,9.62,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,46,9.8,12000.0,136.86795807959348,True,11108.5700573117,131.0
0.2,47,9.99,12000.0,136.1836182891955,True,11154.065245139773,131.0
0.2,48,10.11,12000.0,136.1836182891955,True,11204.264328034324,131.0
0.2,49,10.23,12000.0,136.1836182891955,True,11208.5700573117,131.0
0.2,50,10.35,12000.0,136.1836182891955,True,11208.5700573117,131.0
0.2,51,10.6,12000.0,136.1836182891955,True,11208.5700573117,131.0
0.2,52,10.6,12000.0,136.1836182891955,True,11208.5700573117,131.0
0.2,53,10.66,12000.0,136.1836182891955,True,11208.5700573117,131.0
0.2,54,10.72,12000.0,136.1836182891955,True,11208.5700573117,131.0
0.2,55,10.84,12000.0,136.1836182891955,True,11208.5700573117,131.0
0.2,56,11.09,12000.0,136.1836182891955,True,11208.5700573117,131.0
0.2,57,11.21,12000.0,136.1836182891955,True,11208.5700573117,131.0
0.2,58,11.33,12000.0,136.1836182891955,True,11208.5700573117,131.0
0.2,59,11.45,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,60,11.57,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,61,11.7,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,62,11.82,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,63,11.94,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,64,11.94,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,65,12.06,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,66,12.31,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,67,12.55,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,68,12.67,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,69,12.79,12000.0,135.50608784994577,True,11308.5700573117,131.0
0.2,70,13.04,12000.0,134.83526563286682,True,11408.5700573117,131.0
0.2,71,13.16,12000.0,134.83526563286682,True,11408.5700573117,131.0
0.2,72,13.28,12000.0,134.83526563286682,True,11408.5700573117,131.0
0.2,73,13.53,12000.0,134.83526563286682,True,11408.5700573117,131.0
0.2,74,13.65,12000.0,134.83526563286682,True,11408.5700573117,131.0
0.2,75,13.89,12000.0,134.83526563286682,True,11408.5700573117,131.0
0.2,76,14.01,12000.0,134.83526563286682,True,11408.5700573117,131.0
0.2,77,14.26,12000.0,134.83526563286682,True,11408.5700573117,131.0
0.2,78,14.26,12000.0,134.83526563286682,True,11408.5700573117,131.0
0.2,79,14.5,12000.0,134.83526563286682,True,11504.264328034324,131.0
0.2,80,14.5,12000.0,134.83526563286682,True,11504.264328034324,131.0
0.2,81,14.62,12000.0,134.17105250167043,True,11508.5700573117,131.0
0.2,82,14.75,12000.0,134.17105250167043,True,11508.5700573117,131.0
0.2,83,14.99,12000.0,134.17105250167043,True,11508.5700573117,131.0
0.2,84,15.24,12000.0,134.17105250167043,True,11508.5700573117,131.0
0.2,85,15.48,12000.0,134.17105250167043,True,11508.5700573117,131.0
0.2,86,15.72,12000.0,134.17105250167043,True,11508.5700573117,131.0
0.2,87,15.78,12000.0,134.17105250167043,True,11508.5700573117,131.0
0.2,88,15.97,12000.0,134.17105250167043,True,11508.5700573117,131.0
0.2,89,16.21,12000.0,134.17105250167043,True,11604.264328034324,131.0
0.2,90,16.21,12000.0,134.17105250167043,True,11604.264328034324,131.0
0.2,91,16.46,12000.0,133.51335126391717,True,11608.5700573117,131.0
0.2,92,16.7,12000.0,133.51335126391717,True,11608.5700573117,131.0
0.2,93,17.43,12000.0,133.51335126391717,True,11608.5700573117,131.0
0.2,94,17.92,12000.0,133.51335126391717,True,11654.065245139773,131.0
0.2,95,18.53,12000.0,132.8620666236054,True,11708.5700573117,131.0
0.2,96,19.39,12000.0,132.8620666236054,True,11708.5700573117,131.0
0.2,97,20.36,12000.0,132.21710513514128,True,11808.5700573117,131.0
0.2,98,22.07,12000.0,131.578375158643,True,11908.5700573117,131.0
